,City,City_id,Country,Lat,Lon,Sfc_temp_F,Sfc_press_mb,Rel_humidity_pct,Wind_speed_kts,Clouds_pct
338,Skjervoy,777682,NO,70.03,20.97,55.4,1018.0,82,4.7,40
339,Wuning,7071576,CN,29.26,120.23,77.05,1007.78,88,2.33,50
340,Lebyazhye,536466,RU,59.96,29.42,64.74,1021.0,77,6.71,0
341,Nishihara,1850144,JP,35.74,139.53,74.39,1017.0,88,6.93,75
342,Rayong,1607017,TH,12.68,101.28,84.67,1008.0,69,4.7,40
343,Gornopravdinsk,1506268,RU,60.06,69.92,55.09,1001.78,99,5.08,100
344,Grand Gaube,934479,MU,-20.01,57.66,71.33,1025.0,60,11.41,75
345,Bilbor,684870,RO,47.07,25.49,71.01,976.0,47,5.95,83
346,Morehead,4301307,US,38.18,-83.43,68.63,1017.0,88,9.17,20
347,Dandong,2037886,CN,40.12,124.37,66.97,1009.68,87,8.19,100
348,Itoman,1861280,JP,26.12,127.67,82.74,1011.0,79,3.36,20
349,Clarence Town,2171465,AU,-32.59,151.78,53.51,1020.0,93,3.36,40
350,Lebu,344979,ET,8.96,38.73,58.69,1016.02,83,1.45,72
351,Aksu,1524298,KZ,52.04,76.93,69.8,1007.0,52,11.18,0
352,Teodoro Sampaio,3446625,BR,-22.53,-52.17,88.75,1015.36,26,7.74,9
353,Half Moon Bay,5354943,US,37.46,-122.43,74.12,1014.0,77,3.36,5
354,Kameshkovo,553389,RU,56.35,41.0,59.23,1021.01,76,8.66,100
355,Santa Rosa,3835994,AR,-36.62,-64.29,76.33,1012.68,40,13.24,67
356,Port Macquarie,2152659,AU,-31.43,152.91,51.8,1019.0,100,4.7,75
357,Glendive,5654391,US,47.11,-104.71,64.35,1016.0,63,14.99,75
358,Aksarayskiy,583683,RU,46.79,48.01,77.0,1021.0,50,8.95,0
359,Sao Felix do Xingu,3388847,BR,-6.64,-51.99,94.69,1009.99,27,4.36,41
360,Sicula,667245,RO,46.43,21.75,78.49,1018.0,57,5.82,0
361,Sakaiminato,1853174,JP,35.55,133.23,69.8,1012.0,94,4.7,75
362,Paciran,1633442,ID,-6.9,112.33,75.43,1011.41,70,8.77,72
363,Ossora,2122389,RU,59.24,163.07,48.79,1010.53,97,5.28,100
364,Razam,1258270,IN,18.45,83.66,79.75,1004.97,81,3.11,99
365,Roebourne,2062276,AU,-20.77,117.15,56.17,1013.73,75,3.44,37
366,Nouakchott,2377450,MR,18.08,-15.98,84.2,1009.0,70,12.75,75
367,Palana,2122262,RU,59.08,159.95,51.85,1008.11,81,3.91,85
368,Santa Ana,3984717,MX,30.54,-111.12,91.0,1011.0,57,4.0,92
369,Daru,2098329,PG,-9.07,143.21,72.55,1011.73,86,7.14,88
370,Grindavik,3416888,IS,63.84,-22.43,52.65,982.0,87,17.22,75
371,Rio Gallegos,3838859,AR,-51.62,-69.22,51.8,989.0,29,27.51,40
372,Khash,1160571,IR,28.22,61.21,65.35,1007.28,15,8.84,0
373,Phangnga,1151464,TH,8.45,98.53,80.38,1012.0,70,9.17,40
374,Iskateley,866062,RU,67.68,53.15,39.43,1015.19,80,4.0,96
375,Touros,3386213,BR,-5.2,-35.46,84.2,1015.0,62,16.11,40
376,Lososina,2123688,RU,49.0,140.31,53.29,1011.95,88,5.08,0
377,Narrabri,2155742,AU,-30.33,149.78,51.37,1018.0,37,10.29,0
378,Oranjestad,3577154,AW,12.52,-70.03,87.8,1013.0,66,17.22,75
379,Atikokan,5888001,CA,48.76,-91.62,60.49,1005.87,95,8.97,100
380,Turinsk,1488933,RU,58.04,63.7,45.55,1009.82,95,14.32,100
381,Thanh Hoa,1574023,VN,10.21,106.33,77.0,1008.0,100,6.93,40
382,Nyurba,2018735,RU,63.29,118.35,54.01,1015.04,74,2.37,87
383,Turukhansk,1488903,RU,65.8,87.96,47.53,1011.22,94,11.92,100
384,Sabla,2349431,NG,12.75,4.71,82.81,1011.08,67,5.73,93
385,Souillac,3026644,FR,45.6,-0.6,84.38,1014.0,35,9.17,0
386,Laguna,3581398,BZ,16.17,-88.94,89.6,1011.0,70,9.17,20
387,Partur,1260228,IN,19.59,76.21,75.07,1006.09,80,11.07,100
388,Saint-Pierre,2995603,FR,48.95,4.24,84.97,1016.0,27,4.7,0
389,Aklavik,5882953,CA,68.22,-135.01,48.2,1008.0,87,2.24,90
